# Logfile created on 2026-03-14 00:55:00 +0100 by logger.rb/v1.5.3
2026-03-14 00:55:00 +0100: Memory Usage (436800K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/adex_neuron/chenxi_working/ttihp26a-adex-neuron-ncs/klayout/DPI.gds
2026-03-14 00:55:00 +0100: Memory Usage (436800K) : Ruby Version for klayout: 3.2.3
2026-03-14 00:55:00 +0100: Memory Usage (438336K) : Loading database to memory is complete.
2026-03-14 00:55:00 +0100: Memory Usage (438336K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/adex_neuron/chenxi_working/ttihp26a-adex-neuron-ncs/klayout/drc_run_DPI/DPI_DPI_main.lyrdb
2026-03-14 00:55:00 +0100: Memory Usage (438464K) : Evaluate switches.
2026-03-14 00:55:00 +0100: Memory Usage (438464K) : tables selected: main
2026-03-14 00:55:00 +0100: Memory Usage (438464K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-14 00:55:00 +0100: Memory Usage (438464K) : deep mode is enabled.
2026-03-14 00:55:00 +0100: Memory Usage (438592K) : FEOL enabled: true
2026-03-14 00:55:00 +0100: Memory Usage (438592K) : BEOL enabled: true
2026-03-14 00:55:00 +0100: Memory Usage (438592K) : OFFGRID enabled: true
2026-03-14 00:55:00 +0100: Memory Usage (438592K) : PIN enabled: true
2026-03-14 00:55:00 +0100: Memory Usage (438592K) : FORBIDDEN enabled: true
2026-03-14 00:55:00 +0100: Memory Usage (438592K) : RECOMMENDED enabled: true
2026-03-14 00:55:00 +0100: Memory Usage (438592K) : PreCheck DRC enabled: false
2026-03-14 00:55:00 +0100: Memory Usage (438592K) : CONNECTIVITY_RULES enabled: true.
2026-03-14 00:55:00 +0100: Memory Usage (438592K) : Read in polygons from layers.
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : activ_drw has 174 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : activ_pin has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : activ_mask has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : activ_filler has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : activ_nofill has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : activ_opc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : activ_iopc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : activ_noqrc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : biwind_drw has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : biwind_opc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : pemwind_drw has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : gatpoly_drw has 176 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : gatpoly_pin has 40 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : gatpoly_filler has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : gatpoly_nofill has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : gatpoly_opc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : gatpoly_iopc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : gatpoly_noqrc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : cont_drw has 1156 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : cont_opc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : nsd_drw has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (439616K) : nsd_block has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440000K) : metal1_drw has 474 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440000K) : metal1_pin has 86 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440256K) : metal1_mask has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440256K) : metal1_filler has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440256K) : metal1_nofill has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440256K) : metal1_slit has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440384K) : metal1_text has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440384K) : metal1_opc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440512K) : metal1_noqrc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440512K) : metal1_res has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440640K) : metal1_iprobe has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440640K) : metal1_diffprb has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440768K) : passiv_drw has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440768K) : passiv_pin has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440768K) : passiv_sbump has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440896K) : passiv_pillar has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (440896K) : passiv_pdl has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441024K) : metal2_drw has 224 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441024K) : metal2_pin has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441152K) : metal2_mask has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441152K) : metal2_filler has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441152K) : metal2_nofill has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441280K) : metal2_slit has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441280K) : metal2_text has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441408K) : metal2_opc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441408K) : metal2_noqrc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441536K) : metal2_res has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441664K) : metal2_iprobe has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441664K) : metal2_diffprb has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441664K) : baspoly_drw has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441792K) : baspoly_pin has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441792K) : psd_drw has 33 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441920K) : nldb_drw has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (441920K) : digibnd_drw has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442048K) : via1_drw has 218 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442048K) : backmetal1_drw has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442048K) : backmetal1_pin has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442176K) : backmetal1_mask has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442176K) : backmetal1_filler has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442304K) : backmetal1_nofill has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442304K) : backmetal1_slit has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442432K) : backmetal1_text has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442432K) : backmetal1_opc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442432K) : backmetal1_noqrc has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442560K) : backmetal1_res has 0 polygons
2026-03-14 00:55:00 +0100: Memory Usage (442560K) : backmetal1_iprobe has 0 polygons
