# Logfile created on 2026-03-13 15:45:28 +0100 by logger.rb/v1.5.3
2026-03-13 15:45:28 +0100: Memory Usage (435784K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/adex_neuron/ttihp26a-adex-neuron-ncs/klayout/FB_system.gds
2026-03-13 15:45:28 +0100: Memory Usage (435784K) : Ruby Version for klayout: 3.2.3
2026-03-13 15:45:28 +0100: Memory Usage (437064K) : Loading database to memory is complete.
2026-03-13 15:45:28 +0100: Memory Usage (437064K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/adex_neuron/ttihp26a-adex-neuron-ncs/klayout/drc_run_FB_system/FB_system_FB_system_main.lyrdb
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : Evaluate switches.
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : tables selected: main
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : deep mode is enabled.
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : FEOL enabled: true
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : BEOL enabled: true
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : OFFGRID enabled: true
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : PIN enabled: true
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : FORBIDDEN enabled: true
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : RECOMMENDED enabled: true
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : PreCheck DRC enabled: false
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : CONNECTIVITY_RULES enabled: true.
2026-03-13 15:45:28 +0100: Memory Usage (437320K) : Read in polygons from layers.
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : activ_drw has 124 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : activ_pin has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : activ_mask has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : activ_filler has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : activ_nofill has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : activ_opc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : activ_iopc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : activ_noqrc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : biwind_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : biwind_opc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : pemwind_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : gatpoly_drw has 102 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : gatpoly_pin has 28 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : gatpoly_filler has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : gatpoly_nofill has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : gatpoly_opc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : gatpoly_iopc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : gatpoly_noqrc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : cont_drw has 752 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : cont_opc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : nsd_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : nsd_block has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438600K) : metal1_drw has 309 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438856K) : metal1_pin has 56 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438856K) : metal1_mask has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (438856K) : metal1_filler has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439112K) : metal1_nofill has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439112K) : metal1_slit has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439112K) : metal1_text has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439112K) : metal1_opc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439112K) : metal1_noqrc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439112K) : metal1_res has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439112K) : metal1_iprobe has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439112K) : metal1_diffprb has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439368K) : passiv_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439368K) : passiv_pin has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439368K) : passiv_sbump has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439368K) : passiv_pillar has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439368K) : passiv_pdl has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439624K) : metal2_drw has 143 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439624K) : metal2_pin has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439624K) : metal2_mask has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439624K) : metal2_filler has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439880K) : metal2_nofill has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439880K) : metal2_slit has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439880K) : metal2_text has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439880K) : metal2_opc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (439880K) : metal2_noqrc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440136K) : metal2_res has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440136K) : metal2_iprobe has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440136K) : metal2_diffprb has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440392K) : baspoly_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440392K) : baspoly_pin has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440392K) : psd_drw has 21 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440392K) : nldb_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440392K) : digibnd_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440648K) : via1_drw has 148 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440648K) : backmetal1_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440648K) : backmetal1_pin has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440648K) : backmetal1_mask has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440648K) : backmetal1_filler has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440904K) : backmetal1_nofill has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440904K) : backmetal1_slit has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440904K) : backmetal1_text has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (440904K) : backmetal1_opc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441160K) : backmetal1_noqrc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441160K) : backmetal1_res has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441160K) : backmetal1_iprobe has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441160K) : backmetal1_diffprb has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441160K) : backpassiv_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441416K) : res_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441416K) : sram_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441416K) : trans_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441416K) : ind_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441672K) : ind_pin has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441672K) : ind_text has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441672K) : salblock_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441672K) : via2_drw has 54 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441928K) : metal3_drw has 31 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441928K) : metal3_pin has 4 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441928K) : metal3_mask has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (441928K) : metal3_filler has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442184K) : metal3_nofill has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442184K) : metal3_slit has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442184K) : metal3_text has 4 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442184K) : metal3_opc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442440K) : metal3_noqrc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442440K) : metal3_res has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442440K) : metal3_iprobe has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442440K) : metal3_diffprb has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442440K) : nwell_drw has 16 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442696K) : nwell_pin has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442696K) : nbulay_drw has 7 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442696K) : nbulay_pin has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442952K) : nbulay_block has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442952K) : emwind_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442952K) : emwind_opc has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (442952K) : deepco_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443208K) : deepco_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443208K) : mim_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443208K) : edgeseal_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443464K) : edgeseal_bound has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443464K) : substrate_drw has 21 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443464K) : substrate_text has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443464K) : dfpad_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443464K) : dfpad_pillar has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443720K) : dfpad_sbump has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443720K) : thickgateox_drw has 29 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443720K) : pldb_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443720K) : pwell_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443720K) : pwell_pin has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443976K) : pwell_block has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443976K) : ic_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (443976K) : via3_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (444232K) : metal4_drw has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (444232K) : metal4_pin has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (444232K) : metal4_mask has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (444232K) : metal4_filler has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (444232K) : metal4_nofill has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (444488K) : metal4_slit has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (444488K) : metal4_text has 0 polygons
2026-03-13 15:45:28 +0100: Memory Usage (444488K) : metal4_opc has 0 polygons
