# Logfile created on 2026-03-12 23:33:21 +0100 by logger.rb/v1.5.3
2026-03-12 23:33:21 +0100: Memory Usage (435308K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/adex_neuron/thomas_dev/ttihp26a-adex-neuron-ncs/gds/TOP_v2.klay.gds
2026-03-12 23:33:21 +0100: Memory Usage (435308K) : Ruby Version for klayout: 3.2.3
2026-03-12 23:33:21 +0100: Memory Usage (436332K) : Loading database to memory is complete.
2026-03-12 23:33:21 +0100: Memory Usage (436332K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/adex_neuron/chenxi_working/ttihp26a-adex-neuron-ncs/klayout/drc_run_TOP/TOP_v2.klay_TOP_main.lyrdb
2026-03-12 23:33:21 +0100: Memory Usage (436332K) : Evaluate switches.
2026-03-12 23:33:21 +0100: Memory Usage (436332K) : tables selected: main
2026-03-12 23:33:21 +0100: Memory Usage (436332K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-12 23:33:21 +0100: Memory Usage (436332K) : deep mode is enabled.
2026-03-12 23:33:21 +0100: Memory Usage (436460K) : FEOL enabled: true
2026-03-12 23:33:21 +0100: Memory Usage (436460K) : BEOL enabled: true
2026-03-12 23:33:21 +0100: Memory Usage (436460K) : OFFGRID enabled: true
2026-03-12 23:33:21 +0100: Memory Usage (436460K) : PIN enabled: true
2026-03-12 23:33:21 +0100: Memory Usage (436460K) : FORBIDDEN enabled: true
2026-03-12 23:33:21 +0100: Memory Usage (436460K) : RECOMMENDED enabled: true
2026-03-12 23:33:21 +0100: Memory Usage (436460K) : PreCheck DRC enabled: false
2026-03-12 23:33:21 +0100: Memory Usage (436460K) : CONNECTIVITY_RULES enabled: true.
2026-03-12 23:33:21 +0100: Memory Usage (436460K) : Read in polygons from layers.
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : activ_drw has 8 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : activ_pin has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : activ_mask has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : activ_filler has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : activ_nofill has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : activ_opc has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : activ_iopc has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : activ_noqrc has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : biwind_drw has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : biwind_opc has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : pemwind_drw has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : gatpoly_drw has 4 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : gatpoly_pin has 2 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : gatpoly_filler has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : gatpoly_nofill has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : gatpoly_opc has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : gatpoly_iopc has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : gatpoly_noqrc has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : cont_drw has 73 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : cont_opc has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : nsd_drw has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437228K) : nsd_block has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437356K) : metal1_drw has 17 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437356K) : metal1_pin has 6 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437356K) : metal1_mask has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437356K) : metal1_filler has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437356K) : metal1_nofill has 0 polygons
2026-03-12 23:33:21 +0100: Memory Usage (437612K) : metal1_slit has 0 polygons
