# Logfile created on 2026-03-18 10:55:38 +0100 by logger.rb/v1.5.3
2026-03-18 10:55:38 +0100: Memory Usage (437624K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/adex_neuron/qishen_v2i/ttihp26a-adex-neuron-ncs/xschem/V2I/buffer_final.gds
2026-03-18 10:55:38 +0100: Memory Usage (437624K) : Ruby Version for klayout: 3.2.3
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : Loading database to memory is complete.
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/adex_neuron/ttihp26a-adex-neuron-ncs/klayout/drc_run_buffer_final/buffer_final_buffer_final_main.lyrdb
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : Evaluate switches.
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : tables selected: main
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : deep mode is enabled.
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : FEOL enabled: true
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : BEOL enabled: true
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : OFFGRID enabled: true
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : PIN enabled: true
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : FORBIDDEN enabled: true
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : RECOMMENDED enabled: true
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : PreCheck DRC enabled: false
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : CONNECTIVITY_RULES enabled: true.
2026-03-18 10:55:38 +0100: Memory Usage (437880K) : Read in polygons from layers.
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : activ_drw has 347 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : activ_pin has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : activ_mask has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : activ_filler has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : activ_nofill has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : activ_opc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : activ_iopc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : activ_noqrc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : biwind_drw has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : biwind_opc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : pemwind_drw has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : gatpoly_drw has 264 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : gatpoly_pin has 84 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : gatpoly_filler has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : gatpoly_nofill has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : gatpoly_opc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : gatpoly_iopc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : gatpoly_noqrc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : cont_drw has 2514 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : cont_opc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : nsd_drw has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439160K) : nsd_block has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439416K) : metal1_drw has 732 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439416K) : metal1_pin has 176 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439416K) : metal1_mask has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439416K) : metal1_filler has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439672K) : metal1_nofill has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439672K) : metal1_slit has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439928K) : metal1_text has 2 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439928K) : metal1_opc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439928K) : metal1_noqrc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439928K) : metal1_res has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439928K) : metal1_iprobe has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (439928K) : metal1_diffprb has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440184K) : passiv_drw has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440184K) : passiv_pin has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440184K) : passiv_sbump has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440184K) : passiv_pillar has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440440K) : passiv_pdl has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440440K) : metal2_drw has 394 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440440K) : metal2_pin has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440440K) : metal2_mask has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440440K) : metal2_filler has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440696K) : metal2_nofill has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440696K) : metal2_slit has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440696K) : metal2_text has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440696K) : metal2_opc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440696K) : metal2_noqrc has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440952K) : metal2_res has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440952K) : metal2_iprobe has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (440952K) : metal2_diffprb has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441208K) : baspoly_drw has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441208K) : baspoly_pin has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441208K) : psd_drw has 79 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441208K) : nldb_drw has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441208K) : digibnd_drw has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441464K) : via1_drw has 349 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441464K) : backmetal1_drw has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441464K) : backmetal1_pin has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441464K) : backmetal1_mask has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441720K) : backmetal1_filler has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441720K) : backmetal1_nofill has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441720K) : backmetal1_slit has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441720K) : backmetal1_text has 0 polygons
2026-03-18 10:55:38 +0100: Memory Usage (441720K) : backmetal1_opc has 0 polygons
