# Logfile created on 2026-03-18 17:57:41 +0100 by logger.rb/v1.5.3
2026-03-18 17:57:41 +0100: Memory Usage (436912K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/adex_neuron/ttihp26a-adex-neuron-ncs/klayout/chip_top.klay.gds
2026-03-18 17:57:41 +0100: Memory Usage (436912K) : Ruby Version for klayout: 3.2.3
2026-03-18 17:57:41 +0100: Memory Usage (437680K) : Loading database to memory is complete.
2026-03-18 17:57:41 +0100: Memory Usage (437680K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/adex_neuron/ttihp26a-adex-neuron-ncs/klayout/drc_run_chip_top/chip_top.klay_chip_top_main.lyrdb
2026-03-18 17:57:41 +0100: Memory Usage (437680K) : Evaluate switches.
2026-03-18 17:57:41 +0100: Memory Usage (437680K) : tables selected: main
2026-03-18 17:57:41 +0100: Memory Usage (437680K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-18 17:57:41 +0100: Memory Usage (437680K) : deep mode is enabled.
2026-03-18 17:57:41 +0100: Memory Usage (437936K) : FEOL enabled: true
2026-03-18 17:57:41 +0100: Memory Usage (437936K) : BEOL enabled: true
2026-03-18 17:57:41 +0100: Memory Usage (437936K) : OFFGRID enabled: true
2026-03-18 17:57:41 +0100: Memory Usage (437936K) : PIN enabled: true
2026-03-18 17:57:41 +0100: Memory Usage (437936K) : FORBIDDEN enabled: true
2026-03-18 17:57:41 +0100: Memory Usage (437936K) : RECOMMENDED enabled: true
2026-03-18 17:57:41 +0100: Memory Usage (437936K) : PreCheck DRC enabled: false
2026-03-18 17:57:41 +0100: Memory Usage (437936K) : CONNECTIVITY_RULES enabled: true.
2026-03-18 17:57:41 +0100: Memory Usage (437936K) : Read in polygons from layers.
2026-03-18 17:57:41 +0100: Memory Usage (439216K) : activ_drw has 6428 polygons
2026-03-18 17:57:41 +0100: Memory Usage (439216K) : activ_pin has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (439216K) : activ_mask has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (439216K) : activ_filler has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (439216K) : activ_nofill has 0 polygons
