# Logfile created on 2026-03-19 18:29:27 +0100 by logger.rb/v1.5.3
2026-03-19 18:29:27 +0100: Memory Usage (436216K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/adex_neuron/chenxi_working/ttihp26a-adex-neuron-ncs/klayout/mux.gds
2026-03-19 18:29:27 +0100: Memory Usage (436216K) : Ruby Version for klayout: 3.2.3
2026-03-19 18:29:27 +0100: Memory Usage (437240K) : Loading database to memory is complete.
2026-03-19 18:29:27 +0100: Memory Usage (437240K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/adex_neuron/chenxi_working/ttihp26a-adex-neuron-ncs/klayout/drc_run_mux21/mux_mux21_main.lyrdb
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : Evaluate switches.
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : tables selected: main
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : deep mode is enabled.
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : FEOL enabled: true
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : BEOL enabled: true
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : OFFGRID enabled: true
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : PIN enabled: true
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : FORBIDDEN enabled: true
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : RECOMMENDED enabled: true
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : PreCheck DRC enabled: false
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : CONNECTIVITY_RULES enabled: true.
2026-03-19 18:29:27 +0100: Memory Usage (437368K) : Read in polygons from layers.
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : activ_drw has 516 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : activ_pin has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : activ_mask has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : activ_filler has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : activ_nofill has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : activ_opc has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : activ_iopc has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : activ_noqrc has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : biwind_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : biwind_opc has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : pemwind_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (438904K) : gatpoly_drw has 216 polygons
