# Logfile created on 2026-03-19 18:17:21 +0100 by logger.rb/v1.5.3
2026-03-19 18:17:21 +0100: Memory Usage (436552K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/adex_neuron/chenxi_working/ttihp26a-adex-neuron-ncs/klayout/neuron_row.klay.gds
2026-03-19 18:17:21 +0100: Memory Usage (436552K) : Ruby Version for klayout: 3.2.3
2026-03-19 18:17:21 +0100: Memory Usage (438344K) : Loading database to memory is complete.
2026-03-19 18:17:21 +0100: Memory Usage (438344K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/adex_neuron/chenxi_working/ttihp26a-adex-neuron-ncs/klayout/drc_run_neuron_row/neuron_row.klay_neuron_row_main.lyrdb
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : Evaluate switches.
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : tables selected: main
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : deep mode is enabled.
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : FEOL enabled: true
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : BEOL enabled: true
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : OFFGRID enabled: true
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : PIN enabled: true
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : FORBIDDEN enabled: true
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : RECOMMENDED enabled: true
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : PreCheck DRC enabled: false
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : CONNECTIVITY_RULES enabled: true.
2026-03-19 18:17:21 +0100: Memory Usage (438472K) : Read in polygons from layers.
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : activ_drw has 563 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : activ_pin has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : activ_mask has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : activ_filler has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : activ_nofill has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : activ_opc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : activ_iopc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : activ_noqrc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : biwind_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : biwind_opc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : pemwind_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : gatpoly_drw has 492 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : gatpoly_pin has 129 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : gatpoly_filler has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : gatpoly_nofill has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : gatpoly_opc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439496K) : gatpoly_iopc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439752K) : gatpoly_noqrc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439880K) : cont_drw has 3900 polygons
2026-03-19 18:17:21 +0100: Memory Usage (439880K) : cont_opc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440008K) : nsd_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440008K) : nsd_block has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440136K) : metal1_drw has 1372 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440264K) : metal1_pin has 270 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440392K) : metal1_mask has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440392K) : metal1_filler has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440520K) : metal1_nofill has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440520K) : metal1_slit has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440776K) : metal1_text has 2 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440776K) : metal1_opc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440776K) : metal1_noqrc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440904K) : metal1_res has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (440904K) : metal1_iprobe has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441032K) : metal1_diffprb has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441032K) : passiv_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441160K) : passiv_pin has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441160K) : passiv_sbump has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441288K) : passiv_pillar has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441288K) : passiv_pdl has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441288K) : metal2_drw has 659 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441416K) : metal2_pin has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441416K) : metal2_mask has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441544K) : metal2_filler has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441544K) : metal2_nofill has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441672K) : metal2_slit has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441672K) : metal2_text has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441800K) : metal2_opc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441800K) : metal2_noqrc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441928K) : metal2_res has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (441928K) : metal2_iprobe has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442056K) : metal2_diffprb has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442056K) : baspoly_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442184K) : baspoly_pin has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442184K) : psd_drw has 98 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442184K) : nldb_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442312K) : digibnd_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442312K) : via1_drw has 729 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442440K) : backmetal1_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442440K) : backmetal1_pin has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442568K) : backmetal1_mask has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442568K) : backmetal1_filler has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442696K) : backmetal1_nofill has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442696K) : backmetal1_slit has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442696K) : backmetal1_text has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442824K) : backmetal1_opc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442824K) : backmetal1_noqrc has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442952K) : backmetal1_res has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (442952K) : backmetal1_iprobe has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (443080K) : backmetal1_diffprb has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (443080K) : backpassiv_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (443080K) : res_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (443208K) : sram_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (443208K) : trans_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (443336K) : ind_drw has 0 polygons
2026-03-19 18:17:21 +0100: Memory Usage (443464K) : ind_pin has 0 polygons
