# Logfile created on 2026-03-17 19:34:26 +0100 by logger.rb/v1.5.3
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/pdks/ihp-sg13g2/libs.ref/sg13g2_stdcell/gds/sg13g2_stdcell.gds
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : Ruby Version for klayout: 3.2.3
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : Loading database to memory is complete.
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/adex_neuron/ttihp26a-adex-neuron-ncs/klayout/drc_run_sg13g2_tiehi/sg13g2_stdcell_sg13g2_tiehi_main.lyrdb
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : Evaluate switches.
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : tables selected: main
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : deep mode is enabled.
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : FEOL enabled: true
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : BEOL enabled: true
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : OFFGRID enabled: true
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : PIN enabled: true
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : FORBIDDEN enabled: true
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : RECOMMENDED enabled: true
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : PreCheck DRC enabled: false
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : CONNECTIVITY_RULES enabled: true.
2026-03-17 19:34:26 +0100: Memory Usage (438480K) : Read in polygons from layers.
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : activ_drw has 2 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : activ_pin has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : activ_mask has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : activ_filler has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : activ_nofill has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : activ_opc has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : activ_iopc has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : activ_noqrc has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : biwind_drw has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : biwind_opc has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : pemwind_drw has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : gatpoly_drw has 3 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : gatpoly_pin has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : gatpoly_filler has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439248K) : gatpoly_nofill has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439504K) : gatpoly_opc has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439504K) : gatpoly_iopc has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439504K) : gatpoly_noqrc has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (439760K) : cont_drw has 26 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440016K) : cont_opc has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440016K) : nsd_drw has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440016K) : nsd_block has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440016K) : metal1_drw has 6 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440272K) : metal1_pin has 3 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440272K) : metal1_mask has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440272K) : metal1_filler has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440272K) : metal1_nofill has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440272K) : metal1_slit has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440784K) : metal1_text has 3 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440784K) : metal1_opc has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440784K) : metal1_noqrc has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440784K) : metal1_res has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (440784K) : metal1_iprobe has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (441040K) : metal1_diffprb has 0 polygons
2026-03-17 19:34:26 +0100: Memory Usage (441040K) : passiv_drw has 0 polygons
