# Logfile created on 2026-03-16 18:02:43 +0100 by logger.rb/v1.5.3
2026-03-16 18:02:43 +0100: Memory Usage (436740K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/adex_neuron/ttihp26a-adex-neuron-ncs/klayout/tg_lv.gds
2026-03-16 18:02:43 +0100: Memory Usage (436740K) : Ruby Version for klayout: 3.2.3
2026-03-16 18:02:43 +0100: Memory Usage (437764K) : Loading database to memory is complete.
2026-03-16 18:02:43 +0100: Memory Usage (437764K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/adex_neuron/ttihp26a-adex-neuron-ncs/klayout/drc_run_tg_lv/tg_lv_tg_lv_main.lyrdb
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : Evaluate switches.
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : tables selected: main
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : deep mode is enabled.
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : FEOL enabled: true
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : BEOL enabled: true
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : OFFGRID enabled: true
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : PIN enabled: true
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : FORBIDDEN enabled: true
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : RECOMMENDED enabled: true
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : PreCheck DRC enabled: false
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : CONNECTIVITY_RULES enabled: true.
2026-03-16 18:02:43 +0100: Memory Usage (438020K) : Read in polygons from layers.
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : activ_drw has 258 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : activ_pin has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : activ_mask has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : activ_filler has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : activ_nofill has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : activ_opc has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : activ_iopc has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : activ_noqrc has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : biwind_drw has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : biwind_opc has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : pemwind_drw has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : gatpoly_drw has 108 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : gatpoly_pin has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : gatpoly_filler has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : gatpoly_nofill has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : gatpoly_opc has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : gatpoly_iopc has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : gatpoly_noqrc has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : cont_drw has 300 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : cont_opc has 0 polygons
2026-03-16 18:02:43 +0100: Memory Usage (439556K) : nsd_drw has 0 polygons
