# Logfile created on 2026-03-20 22:34:22 +0100 by logger.rb/v1.5.3
2026-03-20 22:34:22 +0100: Memory Usage (437012K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/adex_neuron/chenxi_working/ttihp26a-adex-neuron-ncs/gds/tt_um_adex_neuron_ncs.gds
2026-03-20 22:34:22 +0100: Memory Usage (437012K) : Ruby Version for klayout: 3.2.3
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : Loading database to memory is complete.
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/adex_neuron/chenxi_working/ttihp26a-adex-neuron-ncs/klayout/drc_run_tt_um_adex_neuron_ncs/tt_um_adex_neuron_ncs_tt_um_adex_neuron_ncs_main.lyrdb
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : Evaluate switches.
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : tables selected: main
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : deep mode is enabled.
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : FEOL enabled: true
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : BEOL enabled: true
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : OFFGRID enabled: true
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : PIN enabled: true
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : FORBIDDEN enabled: true
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : RECOMMENDED enabled: true
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : PreCheck DRC enabled: false
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : CONNECTIVITY_RULES enabled: true.
2026-03-20 22:34:22 +0100: Memory Usage (441748K) : Read in polygons from layers.
2026-03-20 22:34:22 +0100: Memory Usage (443284K) : activ_drw has 7431 polygons
2026-03-20 22:34:22 +0100: Memory Usage (443412K) : activ_pin has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (443540K) : activ_mask has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (443540K) : activ_filler has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (443540K) : activ_nofill has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (443668K) : activ_opc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (443668K) : activ_iopc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (443668K) : activ_noqrc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (443796K) : biwind_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (443796K) : biwind_opc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (443924K) : pemwind_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (444052K) : gatpoly_drw has 6255 polygons
2026-03-20 22:34:22 +0100: Memory Usage (444180K) : gatpoly_pin has 1587 polygons
2026-03-20 22:34:22 +0100: Memory Usage (444180K) : gatpoly_filler has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (444308K) : gatpoly_nofill has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (444308K) : gatpoly_opc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (444308K) : gatpoly_iopc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (444436K) : gatpoly_noqrc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446100K) : cont_drw has 51830 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446100K) : cont_opc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446100K) : nsd_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446100K) : nsd_block has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446612K) : metal1_drw has 17758 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446612K) : metal1_pin has 3361 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446612K) : metal1_mask has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446612K) : metal1_filler has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446612K) : metal1_nofill has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446612K) : metal1_slit has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446740K) : metal1_text has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446740K) : metal1_opc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446740K) : metal1_noqrc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446868K) : metal1_res has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446868K) : metal1_iprobe has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446868K) : metal1_diffprb has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446996K) : passiv_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446996K) : passiv_pin has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446996K) : passiv_sbump has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (446996K) : passiv_pillar has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447124K) : passiv_pdl has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447380K) : metal2_drw has 8787 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447636K) : metal2_pin has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447636K) : metal2_mask has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447636K) : metal2_filler has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447636K) : metal2_nofill has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447636K) : metal2_slit has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447636K) : metal2_text has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447764K) : metal2_opc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447764K) : metal2_noqrc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447892K) : metal2_res has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (447892K) : metal2_iprobe has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448020K) : metal2_diffprb has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448020K) : baspoly_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448148K) : baspoly_pin has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448148K) : psd_drw has 1278 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448276K) : nldb_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448276K) : digibnd_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448660K) : via1_drw has 9322 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448788K) : backmetal1_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448788K) : backmetal1_pin has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448788K) : backmetal1_mask has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448788K) : backmetal1_filler has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448788K) : backmetal1_nofill has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448916K) : backmetal1_slit has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448916K) : backmetal1_text has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (448916K) : backmetal1_opc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449044K) : backmetal1_noqrc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449044K) : backmetal1_res has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449172K) : backmetal1_iprobe has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449172K) : backmetal1_diffprb has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449172K) : backpassiv_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449300K) : res_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449300K) : sram_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449428K) : trans_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449428K) : ind_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449556K) : ind_pin has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449684K) : ind_text has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449684K) : salblock_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449812K) : via2_drw has 4702 polygons
2026-03-20 22:34:22 +0100: Memory Usage (449940K) : metal3_drw has 2897 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450068K) : metal3_pin has 304 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450196K) : metal3_mask has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450196K) : metal3_filler has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450196K) : metal3_nofill has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450324K) : metal3_slit has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450324K) : metal3_text has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450452K) : metal3_opc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450452K) : metal3_noqrc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450452K) : metal3_res has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450580K) : metal3_iprobe has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450580K) : metal3_diffprb has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450708K) : nwell_drw has 1187 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450836K) : nwell_pin has 63 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450836K) : nbulay_drw has 388 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450964K) : nbulay_pin has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (450964K) : nbulay_block has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451092K) : emwind_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451220K) : emwind_opc has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451220K) : deepco_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451348K) : deepco_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451348K) : mim_drw has 31 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451476K) : edgeseal_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451476K) : edgeseal_bound has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451604K) : substrate_drw has 1236 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451732K) : substrate_text has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451732K) : dfpad_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451732K) : dfpad_pillar has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451860K) : dfpad_sbump has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451860K) : thickgateox_drw has 1688 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451988K) : pldb_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (451988K) : pwell_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452116K) : pwell_pin has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452116K) : pwell_block has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452244K) : ic_drw has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452372K) : via3_drw has 5765 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452628K) : metal4_drw has 709 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452628K) : metal4_pin has 96 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452628K) : metal4_mask has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452628K) : metal4_filler has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452756K) : metal4_nofill has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452756K) : metal4_slit has 0 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452884K) : metal4_text has 43 polygons
2026-03-20 22:34:22 +0100: Memory Usage (452884K) : metal4_opc has 0 polygons
